Exam,Section(s),Day,Date,"Start
Time","End
Time",Location
EARTH 122,001,Wednesday,"April 23, 2014",12:30 PM,2:30 PM,"DC 1350,1351"
EARTH 122L,001 to 004,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"PAC 2,3"
EARTH 221,001,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,"PAC 9,10"
EARTH 238,001,Thursday,"April 17, 2014",9:00 AM,11:30 AM,PAC 6
EARTH 270,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,"MC 2017,2054"
EARTH 281,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,"PAC 11,12"
EARTH 332,001,Saturday,"April 12, 2014",12:30 PM,3:00 PM,PAC 8
EARTH 333,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 6
EARTH 342,001,Friday,"April 11, 2014",4:00 PM,6:30 PM,"RCH 103,105"
EARTH 358,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,"PAC 9,10"
EARTH 435,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 11
EARTH 437,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 306
EARTH 438,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,RCH 309
EARTH 456,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,PAC 11
EARTH 459,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,RCH 211
EARTH 460,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,PAC 9
EARTH 491,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 205
EARTH 656,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,PAC 11
EARTH 658,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 205
EARTH 659,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,RCH 211
EASIA 210R,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,REN 2106
EASIA 275R,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,REN 2106
ECE 103,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,"MC 4020,4021,4045"
ECE 106,"001,002",Tuesday,"April 8, 2014",12:30 PM,3:00 PM,"PAC 1,2,3"
ECE 124,"001,002",Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"PAC 4,5,6"
ECE 155,"001,002",Wednesday,"April 23, 2014",9:00 AM,11:30 AM,"PAC 1,2"
ECE 205,001,Friday,"April 11, 2014",12:30 PM,3:00 PM,"RCH 103,105"
ECE 205,002,Friday,"April 11, 2014",12:30 PM,3:00 PM,"RCH 110,112"
ECE 222,"001,002",Tuesday,"April 15, 2014",4:00 PM,6:30 PM,"PAC 1,2"
ECE 224,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,DC 1351
ECE 240,"001,002",Tuesday,"April 8, 2014",12:30 PM,3:00 PM,"PAC 4,5"
ECE 250,"001,002",Wednesday,"April 16, 2014",9:00 AM,11:30 AM,"PAC 7,8"
ECE 290,"001,002",Thursday,"April 17, 2014",4:00 PM,6:30 PM,M3 1006
ECE 316,001,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,PAC 8
ECE 318,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,"RCH 103,105"
ECE 318,002,Friday,"April 11, 2014",9:00 AM,11:30 AM,"PAC 11,12"
ECE 327,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,PAC 8
ECE 331,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,PAC 6
ECE 351,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,MC 4020
ECE 356,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,DC 1351
ECE 358,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"RCH 110,112"
ECE 361,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,"RCH 110,112"
ECE 375,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 112
ECE 380,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,DC 1350
ECE 390,"001,002",Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"DC 1350,1351"
ECE 404,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,PHY 235
ECE 405,001,Friday,"April 11, 2014",4:00 PM,6:30 PM,RCH 204
ECE 406,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,RCH 301
ECE 409,001,Saturday,"April 12, 2014",9:00 AM,11:30 AM,MC 2054
ECE 415,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 205
ECE 417,001,Thursday,"April 17, 2014",9:00 AM,11:30 AM,PAC 8
ECE 423,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,PAC 3
ECE 433,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 211
ECE 444,001,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,"PAC 9,10"
ECE 451,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,RCH 211
ECE 452,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,RCH 211
ECE 453,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 7,8"
ECE 457B,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,PAC 6
ECE 459,001,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,"PAC 7,8"
ECE 464,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 4059
ECE 467,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 7
ECE 474,001,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,MC 1056
ECE 477,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,RCH 205
ECE 488,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,"PAC 11,12"
ECE 653,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 7,8"
ECE 730,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,RCH 301
ECE 730,004,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 211
ECE 770,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,RCH 205
ECON  140W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
ECON 101,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,"DC 1350,1351"
ECON 101,"002,005",Monday,"April 14, 2014",7:30 PM,10:00 PM,"PAC 1,2,3"
ECON 101,"003,004",Monday,"April 14, 2014",7:30 PM,10:00 PM,"PAC 4,5,6,7,8"
ECON 101,"006,007",Monday,"April 14, 2014",7:30 PM,10:00 PM,"PAC 11,12"
ECON 102,"001,002",Tuesday,"April 8, 2014",4:00 PM,6:30 PM,"PAC 1,2,3,8,9,10"
ECON 102,003,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,"DC 1350,1351"
ECON 102,"004,006",Tuesday,"April 8, 2014",4:00 PM,6:30 PM,"PAC 4,5,6,7,11,12"
ECON 102,005,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,"MC 4020,4021,4059,4061"
ECON 102,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ECON 201,"001,003",Thursday,"April 17, 2014",9:00 AM,11:30 AM,"PAC 1,2"
ECON 201,002,Thursday,"April 17, 2014",9:00 AM,11:30 AM,PAC 3
ECON 202,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,PAC 1
ECON 202,002,Thursday,"April 10, 2014",9:00 AM,11:30 AM,PAC 6
ECON 202,"003,004",Thursday,"April 10, 2014",9:00 AM,11:30 AM,"PAC 4,5"
ECON 211,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 110
ECON 211,002,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 307
ECON 221,001,Tuesday,"April 22, 2014",12:30 PM,2:30 PM,DC 1351
ECON 231,001,Tuesday,"April 8, 2014",4:00 PM,6:00 PM,"RCH 302,305"
ECON 301,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,RCH 301
ECON 301,002,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,"PAC 11,12"
ECON 302,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,"MC 2017,2054"
ECON 302,002,Monday,"April 14, 2014",7:30 PM,10:00 PM,MC 1085
ECON 304,001,Thursday,"April 17, 2014",9:00 AM,11:30 AM,PAC 5
ECON 321,001,Tuesday,"April 22, 2014",4:00 PM,6:00 PM,DC 1350
ECON 321,002,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,"PAC 9,10"
ECON 332,"001,002",Monday,"April 14, 2014",12:30 PM,2:30 PM,M3 1006
ECON 344,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 4
ECON 344,002,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 5
ECON 344,"003,004",Thursday,"April 10, 2014",7:30 PM,10:00 PM,"PAC 7,8"
ECON 351,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,MC 4020
ECON 361,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ECON 371,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,"RCH 110,112"
ECON 372,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,"RCH 103,105"
ECON 401,001,Thursday,"April 24, 2014",9:00 AM,11:30 AM,PAC 11
ECON 402,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,RCH 309
ECON 405,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,RCH 205
ECON 421,001,Saturday,"April 12, 2014",7:30 PM,9:30 PM,RCH 305
ECON 483,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 305
ELPE 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENBUS 302,001,Monday,"April 21, 2014",7:30 PM,10:00 PM,"PAC 5,6"
ENGL 100A,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 2035
ENGL 101A,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,PAC 2
ENGL 101A,002,Monday,"April 21, 2014",12:30 PM,3:00 PM,STJ 2011
ENGL 101B,001,Wednesday,"April 23, 2014",7:30 PM,10:00 PM,MC 4041
ENGL 101B,002,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 206
ENGL 102B,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,REN 2102
ENGL 102B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 104,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,PAC 6
ENGL 108A,001,Tuesday,"April 22, 2014",7:30 PM,10:00 PM,MC 4045
ENGL 108A,002,Monday,"April 14, 2014",7:30 PM,9:00 PM,REN 2106
ENGL 108C,001,Monday,"April 14, 2014",12:30 PM,2:30 PM,STJ 3027
ENGL 108F,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,STJ 2009
ENGL 108H,001,Monday,"April 14, 2014",4:00 PM,6:30 PM,PAC 9
ENGL 108M,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,HH 2107
ENGL 109,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 129R,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,REN 2107
ENGL 190,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 200A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 200B,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,MC 4045
ENGL 200B,002,Thursday,"April 10, 2014",9:00 AM,11:30 AM,STJ 3027
ENGL 200B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 202A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 208B,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,STJ 2017
ENGL 208C,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 208E,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,REN 2107
ENGL 208N,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,STJ 2011
ENGL 210F,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 251A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 251B,002,Thursday,"April 17, 2014",12:30 PM,3:00 PM,STJ 3012
ENGL 251B,003,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,STJ 3016
ENGL 251B,004,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,HH 2107
ENGL 251B,005,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,RCH 206
ENGL 251B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 306A,001,Exam removed from the schedule. Contact instructor for further information,,,,
ENGL 306A,002,Exam removed from the schedule. Contact instructor for further information,,,,
ENGL 309G,001,Friday,"April 11, 2014",7:30 PM,9:00 PM,MC 4042
ENGL 315,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 322,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,STJ 3016
ENGL 325,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,STJ 2009
ENGL 330A,001,Tuesday,"April 22, 2014",9:00 AM,11:00 AM,MC 4040
ENGL 363,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENGL 371,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,STJ 2009
ENGL 460B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ENVE 221,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,RCH 301
ENVE 224,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,RCH 301
ENVE 275,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 110
ENVE 375,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,CPH 3607
ENVE 391,001,Exam removed from the schedule. Contact instructor for further information,,,,
ENVE 573,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,CPH 3604
ENVE 577,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,CPH 3602
ENVS 200,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,PAC 6
ENVS 220,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,"DC 1350,1351"
ERS 270,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,AL 208
ERS 365,001,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,AL 105
ERS 375,001,Friday,"April 11, 2014",12:30 PM,2:30 PM,RCH 205
ERS 375,002,Thursday,"April 10, 2014",9:00 AM,11:30 AM,EV1 350
ERS 383,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,RCH 309
ERS 404,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,RCH 105
ERS 461,001,Exam removed from the schedule. Contact instructor for further information,,,,
ERS 675,008,Thursday,"April 10, 2014",9:00 AM,11:30 AM,EV1 350
ESL 102R,001 to 017,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,"PAC 4,5,6,7"
ESL 129R,"001,002",Monday,"April 21, 2014",12:30 PM,3:00 PM,REN 2106
ESL 129R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FINE 204,002,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 9
FINE 262,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 2038
FR 151,001 to 004,Thursday,"April 10, 2014",9:00 AM,11:00 AM,"RCH 301,302"
FR 151,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 152,001 to 006,Saturday,"April 12, 2014",12:30 PM,2:30 PM,"MC 2017,2054"
FR 152,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 192A,001 to 004,Thursday,"April 24, 2014",12:30 PM,2:30 PM,DC 1350
FR 192A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 192B,001 to 004,Tuesday,"April 8, 2014",12:30 PM,2:30 PM,"RCH 103,105"
FR 192B,005,Tuesday,"April 8, 2014",12:30 PM,2:30 PM,STJ 2009
FR 192B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 197,001,Saturday,"April 12, 2014",9:00 AM,11:30 AM,RCH 306
FR 197,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 251,001,Tuesday,"April 8, 2014",12:30 PM,2:30 PM,RCH 309
FR 251,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 252,"001,002",Thursday,"April 10, 2014",4:00 PM,6:30 PM,AL 208
FR 263,001,Thursday,"April 24, 2014",4:00 PM,6:00 PM,ML 349
FR 276,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 292,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 297,"001,002",Saturday,"April 12, 2014",4:00 PM,6:00 PM,RCH 204
FR 355,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
FR 400,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,STJ 3014
FR 410,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,ML 349
FR 452,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,AL 208
FR 473,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,AL 105
FR 484,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,AL 208
GBDA 102,"001,002",Wednesday,"April 9, 2014",12:30 PM,3:00 PM,"PAC 11,12"
GBDA 204,002,Exam removed from the schedule. Contact instructor for further information,,,,
GBDA 205,"001,002",Wednesday,"April 9, 2014",4:00 PM,6:30 PM,PAC 3
GENE 121,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,"PAC 2,3"
GENE 123,001 to 004,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7"
GENE 411,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,MC 4040
GEOG 102,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,M3 1006
GEOG 203,001,Tuesday,"April 15, 2014",4:00 PM,6:00 PM,"MC 2017,2054"
GEOG 209,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,MC 4021
GEOG 271,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,"PAC 11,12"
GEOG 281,001,Thursday,"April 10, 2014",4:00 PM,6:30 PM,"DC 1350,1351"
GEOG 318,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 9
GEOG 323,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 9,10"
GEOG 351,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,MC 4045
GEOG 368,001,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,"PAC 2,3"
GEOG 407,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,MC 4040
GEOG 432,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,"PAC 9,10"
GEOG 461,001,Exam removed from the schedule. Contact instructor for further information,,,,
GER 101,001 to 004,Monday,"April 21, 2014",7:30 PM,10:00 PM,RCH 301
GER 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
GER 102,"001,002",Tuesday,"April 22, 2014",12:30 PM,3:00 PM,AL 105
GER 102,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
GER 180,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,EV3 1408
GER 201,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
GER 202,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,ML 246
GER 202,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
GER 212,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,RCH 106
GER 334,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,ML 212
GERON 210,001,Thursday,"April 10, 2014",7:30 PM,9:00 PM,"MC 4059,4061"
GERON 352,001,Monday,"April 14, 2014",4:00 PM,6:00 PM,M3 1006
GRK 102,001,Wednesday,"April 16, 2014",4:00 PM,6:00 PM,ML 349
HIST 105,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,"PAC 4,5"
HIST 111,001,Tuesday,"April 8, 2014",9:00 AM,10:30 AM,CGC 1111
HIST 113,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,STJ 2017
HIST 223,001,Friday,"April 11, 2014",9:00 AM,11:00 AM,"HH 1101,1102"
HIST 226,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,HH 1101
HIST 262,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,HH 1102
HIST 268,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,HH 1101
HIST 278,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,RCH 207
HIST 291,002,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,STJ 2009
HIST 318,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,STJ 3015
HIST 348,001,Tuesday,"April 8, 2014",7:30 PM,9:30 PM,CGC 1300
HIST 350,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,STJ 3015
HIST 380,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,STJ 2009
HLTH 102,"001,002",Friday,"April 11, 2014",9:00 AM,11:30 AM,"DC 1350,1351"
HLTH 210,001,Thursday,"April 10, 2014",7:30 PM,9:00 PM,"MC 4059,4061"
HLTH 253,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,EV3 1408
HLTH 330,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,DC 1350
HLTH 352,001,Monday,"April 14, 2014",4:00 PM,6:00 PM,M3 1006
HLTH 420,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,"PAC 9,10"
HRM 301,001,Saturday,"April 12, 2014",12:30 PM,2:30 PM,"MC 2034,2035"
HRM 307,001,Tuesday,"April 8, 2014",7:30 PM,9:30 PM,RCH 112
HUMSC 101,001,Exam removed from the schedule. Contact instructor for further information,,,,
HUMSC 301,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,STJ 3012
INDEV 101,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 8
INTEG 275,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 9
JAPAN 101R,"001,002",Tuesday,"April 15, 2014",7:30 PM,9:30 PM,STJ 1036
JAPAN 102R,001,Thursday,"April 24, 2014",9:00 AM,11:00 AM,REN 2106
JAPAN 201R,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,REN 2107
JAPAN 202R,001,Saturday,"April 12, 2014",4:00 PM,6:30 PM,REN 2107
JAPAN 301R,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,REN 2102
KIN 100,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,"PAC 1,2,3"
KIN 100L,001 to 010,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,M3 1006
KIN 101,001 to 014,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"DC 1350,1351"
KIN 205,001,Thursday,"April 17, 2014",9:00 AM,11:30 AM,PAC 4
KIN 210,001,Thursday,"April 10, 2014",7:30 PM,9:00 PM,"MC 4059,4061"
KIN 222,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,M3 1006
KIN 307,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,MC 4040
KIN 352,001,Monday,"April 14, 2014",4:00 PM,6:00 PM,M3 1006
KIN 356,001,Monday,"April 14, 2014",9:00 AM,11:00 AM,"RCH 103,105"
KIN 403,001,Wednesday,"April 23, 2014",12:30 PM,2:30 PM,MC 1085
KIN 420,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 112
KIN 422,001,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,PAC 6
KIN 427,001,Tuesday,"April 8, 2014",9:00 AM,10:30 AM,M3 1006
KIN 471,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,PAC 12
KOREA 101R,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,REN 2106
LAT 102,"001,002",Monday,"April 21, 2014",7:30 PM,9:30 PM,PAC 10
LAT 202,001,Monday,"April 14, 2014",12:30 PM,2:30 PM,RCH 206
LS 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
LS 102,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,STJ 1036
LS 102,002,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,STJ 1036
LS 201,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,HH 1101
LS 280,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,CPH 1346
LS 321,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,HH 1101
LS 403,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,PAS 1229
LS 403,002,Monday,"April 14, 2014",7:30 PM,10:00 PM,PAS 1229
MATBUS 470,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 301
MATBUS 471,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,"PAC 9,10"
MATBUS 472,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,PAC 3
MATH 103,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 104,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 211
MATH 104,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 106,001,Wednesday,"April 23, 2014",7:30 PM,10:00 PM,DC 1350
MATH 106,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 118,001 to 004,Monday,"April 14, 2014",12:30 PM,3:00 PM,"PAC 6,7,8,11,12"
MATH 119,001 to 003,Monday,"April 14, 2014",4:00 PM,6:30 PM,"PAC 4,5,6,7"
MATH 127,001 to 004,Friday,"April 11, 2014",7:30 PM,10:00 PM,"PAC 4,5,6,7"
MATH 127,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 128,001 to 006,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,9,10"
MATH 128,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 135,001 to 007,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,9"
MATH 136,"001 to 006,008",Tuesday,"April 15, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
MATH 136,007,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,MC 1085
MATH 136,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MATH 137,001 to 003,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 4,5,6"
MATH 138,"001,003 to 006
008,009",Thursday,"April 10, 2014",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
MATH 138,002,Thursday,"April 10, 2014",4:00 PM,6:30 PM,"MC 4058,4059,4060,4061"
